Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,AEP,15976
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,AEP,15890
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,AEP,15893
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,AEP,15893
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,AEP,15893
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,APS,5853
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,APS,5888
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,APS,5897
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,APS,5897
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,APS,5897
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,COMED,12720
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,COMED,12708
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,COMED,12661
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,COMED,12661
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,COMED,12661
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DEOK,3360
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DEOK,3336
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DEOK,3336
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DEOK,3336
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DEOK,3336
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DOM,16114
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DOM,16199
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DOM,16206
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DOM,16206
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DOM,16206
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DAY,2218
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DAY,2201
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DAY,2199
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DAY,2199
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DAY,2199
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DUQ,1876
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DUQ,1887
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DUQ,1891
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DUQ,1891
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,DUQ,1891
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,EKPC,1637
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,EKPC,1615
